,Obj Val,Mean Violation,Max Violation,Num Violations,Elapsed Time
0,,,,,1002.7433907985688
1,,,,,1002.3665177822112
2,,,,,1001.94846534729
3,,,,,1002.2120306491852
4,,,,,1002.2507302761078
5,,,,,1002.3963680267334
6,,,,,1002.36026096344
7,,,,,1002.517616033554
8,,,,,1002.0202753543854
9,,,,,1002.2649674415588
10,,,,,1002.850864648819
11,,,,,1002.058676958084
12,,,,,1002.3331701755524
13,,,,,1002.7254252433776
14,,,,,1002.1766209602356
15,,,,,1002.3110885620116
16,,,,,1002.1631548404694
17,,,,,1002.0085608959198
18,,,,,1006.2408096790314
19,,,,,1002.4673998355864
20,,,,,1004.171605348587
21,,,,,1002.53022646904
22,,,,,1002.1511085033416
23,,,,,1002.11945271492
24,,,,,1002.1980063915252
25,,,,,1111.282639503479
26,,,,,1002.3230073451996
27,,,,,1002.0363829135896
28,,,,,1002.205097913742
29,,,,,1002.6150825023652
30,,,,,1002.7498142719268
31,,,,,1002.7973127365112
32,,,,,1002.1170282363892
33,,,,,1002.1476683616638
34,,,,,1002.3715779781342
35,,,,,1002.5018491744996
36,,,,,1002.073733329773
37,,,,,1002.2737812995912
38,,,,,1002.3516526222228
39,,,,,1002.0200130939484
40,,,,,1002.2312178611757
41,,,,,1001.9930517673492
42,,,,,1002.2000787258148
43,,,,,1002.2616794109344
44,,,,,1002.7117102146148
45,,,,,1002.7465629577636
46,,,,,1002.5085773468018
47,,,,,1001.917179107666
48,,,,,1002.6838192939758
49,,,,,1002.0949509143828
50,,,,,1002.2828452587128
51,,,,,1002.0961740016936
52,,,,,1006.58105301857
53,,,,,1001.9881324768066
54,,,,,1002.3170244693756
55,,,,,1002.1747028827668
56,,,,,1002.0573117733002
57,,,,,1001.8780422210692
58,,,,,1002.164385318756
59,,,,,1002.176812171936
60,,,,,1002.1592304706572
61,,,,,1002.0510501861572
62,,,,,1002.2229497432708
63,,,,,1002.2460238933564
64,,,,,1002.0321099758148
65,,,,,1001.8922882080078
66,,,,,1002.233559846878
67,,,,,1001.99041223526
68,,,,,1001.8007543087006
69,,,,,1002.0108063220978
70,,,,,1001.8927359580994
71,,,,,23852.62521672249
72,,,,,1002.297785282135
73,,,,,1127.6426734924316
74,,,,,1001.9402561187744
75,,,,,1002.5175552368164
76,,,,,1001.8759026527404
77,,,,,1002.5080704689026
78,,,,,1002.8807339668274
79,,,,,1002.320812702179
80,,,,,1002.4789741039276
81,,,,,1002.0666301250458
82,,,,,1001.9535720348358
83,,,,,1002.0061748027802
84,,,,,1001.8698942661284
85,,,,,1002.7301199436188
86,,,,,1002.4463057518004
87,,,,,1002.2367551326752
88,,,,,1001.762186050415
89,,,,,1002.5105831623076
90,,,,,1002.776165485382
91,,,,,1002.3214976787568
92,,,,,1001.8905057907104
93,,,,,1001.7856073379515
94,,,,,1002.2228350639344
95,,,,,1001.761830329895
96,,,,,1002.1003575325012
97,,,,,1001.9715716838836
98,,,,,1002.9818110466005
99,,,,,1002.2805173397064
