,Obj Val,Mean Violation,Max Violation,Num Violations,Elapsed Time
0,,,,,1001.6656699180604
1,,,,,1000.7302098274232
2,,,,,1000.5975151062012
3,,,,,1000.670244693756
4,,,,,1000.6442832946776
5,,,,,1000.6154658794404
6,,,,,1000.6229972839355
7,,,,,1000.5729174613951
8,,,,,1000.6725170612336
9,,,,,1000.5950045585632
10,,,,,1000.5887637138368
11,,,,,1000.5616793632508
12,,,,,1000.6583745479584
13,,,,,1000.5695123672484
14,,,,,1000.5866811275482
15,120.15320191451524,0.0,0.0,0.0,396.2713966369629
16,1138.7714118373965,0.0,0.0,0.0,729.0205454826355
17,,,,,1000.6366064548492
18,,,,,1000.5346908569336
19,,,,,1000.5507855415344
20,,,,,1000.71706700325
21,,,,,1000.5647308826448
22,,,,,1000.5932128429412
23,,,,,1000.5858302116394
24,,,,,1000.5980734825134
25,,,,,1000.6291868686676
26,467.70615538063305,0.0,0.0,0.0,518.4839437007904
27,,,,,1000.592038154602
28,,,,,1000.4836821556092
29,,,,,1000.5842287540436
30,,,,,1000.6449711322784
31,,,,,1000.5970842838288
32,,,,,1000.568570137024
33,,,,,1000.5702452659608
34,,,,,1000.6406438350676
35,,,,,1000.5944139957428
36,,,,,1000.5602402687072
37,154.90196477291482,0.0,0.0,0.0,220.19074153900144
38,,,,,1000.52028131485
39,,,,,1000.6581585407256
40,,,,,1000.6080334186554
41,,,,,1000.5762374401093
42,,,,,1000.5769183635712
43,,,,,1000.5980315208436
44,,,,,1000.575483560562
45,,,,,1000.56268119812
46,84.13745381688031,0.0,0.0,0.0,803.1533782482147
47,155.60605456726876,0.0,0.0,0.0,844.4616270065308
48,,,,,1000.5970680713654
49,,,,,1000.6216185092926
50,,,,,1000.593264579773
51,,,,,1000.6390211582184
52,,,,,1000.60058927536
53,,,,,1000.4992244243622
54,,,,,1000.565976858139
55,,,,,1000.5686237812042
56,,,,,1000.5606455802916
57,,,,,1000.605081319809
58,,,,,1000.5877211093904
59,114.3387427154341,0.0,0.0,0.0,890.1994409561157
60,,,,,1000.5887956619264
61,,,,,1000.4897758960724
62,559.2260567500286,0.0,0.0,0.0,331.76160526275635
63,,,,,1000.5945148468018
64,57468.21812926252,0.0,0.0,0.0,641.8048951625824
65,,,,,1000.7714583873748
66,,,,,1000.6635394096376
67,,,,,1000.6057820320128
68,,,,,1000.611127614975
69,,,,,1000.490416765213
70,,,,,1000.566064596176
71,,,,,1000.5506463050842
72,,,,,1000.61398768425
73,,,,,1000.6610386371613
74,,,,,1000.6862058639526
75,,,,,1000.582214832306
76,,,,,1000.5382103919984
77,841.2642309977109,0.0,0.0,0.0,932.667994260788
78,,,,,1000.6360883712769
79,,,,,1000.5547785758972
80,37.43089752712954,0.0,0.0,0.0,324.6599917411804
81,,,,,1000.5658085346222
82,,,,,1000.5830235481262
83,107.53338442789104,0.0,0.0,0.0,739.7181751728058
84,,,,,1000.4708433151244
85,,,,,1000.6916389465332
86,,,,,1000.7019100189208
87,,,,,1000.6265738010406
88,,,,,1000.6027076244354
89,,,,,1000.5981621742249
90,,,,,1000.5953075885772
91,466.35864234831735,0.0,0.0,0.0,332.96013283729553
92,,,,,1000.5494060516356
93,,,,,1000.6022789478302
94,,,,,1000.575983285904
95,44.603094830577184,0.0,0.0,0.0,285.20212292671204
96,,,,,1000.624055147171
97,,,,,1000.5874619483948
98,,,,,1000.5784301757812
99,,,,,1000.5395133495332
